echoamplitude_injected,duration,SNR,echoamplitude_searched_new,echoamplitude_searched_old,echoamplitude_searched_new_error,echoamplitude_searched_old_error,echoamplitude_searched_new_error_up,echoamplitude_searched_new_error_down,echoamplitude_searched_old_error_up,echoamplitude_searched_old_error_down,echoamplitude_searched_new_min,echoamplitude_searched_new_max,echoamplitude_searched_old_min,echoamplitude_searched_old_max,log_likelihood_new,log_likelihood_old,log_likelihood_new_error,log_likelihood_old_error,log_likelihood_new_error_up,log_likelihood_new_error_down,log_likelihood_old_error_up,log_likelihood_old_error_down,normalized_echoamplitude_injected,normalized_echoamplitude_searched_new,normalized_echoamplitude_searched_old,normalized_echoamplitude_searched_new_min,normalized_echoamplitude_searched_new_max,normalized_echoamplitude_searched_old_min,normalized_echoamplitude_searched_old_max
0.03,200,2.1932142942397324,0.02867796610169487,0.04016949152542369,0.0254237288135593,0.04576271186440675,0.0,0.0508474576271186,0.0,0.0915254237288135,0.0,0.0661016949152542,0.0,0.1423728813559321,0.9272836248162788,0.4597660846686649,1.0038132291611903,0.49255463241874425,0.0,2.0076264583223806,0.0,0.9851092648374885,0.1919451701380696,0.1834526489254239,0.25710570521577836,0.0,0.4235563646477436,0.0,0.9110358405139048
0.03,500,2.195245880878326,0.02908474576271182,0.039661016949152514,0.02288135593220335,0.0483050847457627,0.0,0.0457627118644067,0.0,0.0966101694915254,0.0,0.0610169491525423,0.0,0.1983050847457627,0.8749884117387466,0.3071222648823098,0.9271554134253166,0.2631264360559418,0.0,1.8543108268506332,0.0,0.5262528721118837,0.12139676814438417,0.11770258717092819,0.16043008046542057,0.0,0.2496892153396558,0.0,0.7946772881901659
0.05,4,3.61301806698805,0.04901694915254232,0.04967796610169486,0.017796610169491547,0.017796610169491547,0.0305084745762711,0.0661016949152542,0.0305084745762711,0.0661016949152542,0.0,0.0915254237288135,0.0,0.0966101694915254,3.046264658084882,2.897217312494117,2.5990520690540553,2.5601845715238065,0.28586796622612565,5.483972104334236,0.37947543686929786,5.4998445799169104,2.262121019487859,2.217258231480115,2.2469079277815793,0.0,4.124188261157667,0.0,4.353309831221981
0.05,10,3.7138774820198175,0.05120338983050842,0.05171186440677961,0.015254237288135596,0.0177966101694915,0.035593220338983,0.0661016949152542,0.035593220338983,0.071186440677966,0.0,0.0813559322033898,0.0,0.0864406779661016,3.3717551725873274,1.930530200272346,2.4702098934760093,1.6436175733323417,0.7412339988512424,5.6816537858032605,0.28383795721014765,3.571073103874831,1.430681033428429,1.464926358155591,1.4792716586337056,0.0,2.3311956339958093,0.0,2.4848310820515462
0.05,50,3.652094553385295,0.05099999999999996,0.048101694915254185,0.015254237288135596,0.0406779661016949,0.035593220338983,0.0661016949152542,0.0,0.0813559322033898,0.0,0.0864406779661016,0.0,0.1067796610169491,3.2213007607105997,0.9411061729112851,2.4459772242109397,0.9380870710640168,0.7027598674602973,5.594714315882176,0.0,1.8761741421280336,0.6398176704261551,0.6525111337388997,0.6153912703795805,0.0,1.1017808400152518,0.0,1.3678131833878744
0.05,100,3.658795940455452,0.05150847457627112,0.0500338983050847,0.015254237288135596,0.04576271186440675,0.035593220338983,0.0661016949152542,0.0,0.0915254237288135,0.0101694915254237,0.0864406779661016,0.0,0.1271186440677966,3.308655986735136,0.7863823415031121,2.7605533821308903,0.9711793557659534,0.5572517985018245,6.078358562763605,0.0,1.9423587115319068,0.4524192076075171,0.46595346733525633,0.4525983446260354,0.0915049504986024,0.7833042116499269,0.0,1.1390765531947962
0.05,200,3.6553571570662204,0.05099999999999994,0.052423728813559285,0.015661016949152548,0.051254237288135544,0.0347796610169491,0.0661016949152542,0.0,0.10250847457627109,0.0,0.0864406779661016,0.0,0.147457627118644,3.2422774927349476,0.6607993172862139,2.683577922838052,0.7508934750353773,0.6394428477282795,6.006598693404383,0.0,1.5017869500707546,0.31990861689678285,0.3262546645180522,0.33553571101369256,0.0,0.5490622930769543,0.0,0.9435728348179728
0.05,500,3.6587431347972115,0.05120338983050843,0.049169491525423686,0.015254237288135596,0.05338983050847455,0.035593220338983,0.0661016949152542,0.0,0.1067796610169491,0.0,0.0813559322033898,0.0,0.2084745762711864,3.189328178047508,0.3996055705839367,2.417285660228443,0.3592268204680527,0.7376062773237149,5.572177597780601,0.0,0.7184536409361054,0.20232794690730693,0.2071964058895291,0.19891221689375796,0.0,0.3296997601080008,0.0,0.8354299696358155
0.1,4,7.2260361339761,0.10154237288135588,0.10235593220338979,0.015254237288135603,0.015254237288135603,0.0864406779661016,0.1169491525423728,0.0864406779661016,0.1169491525423728,0.071186440677966,0.1423728813559321,0.0661016949152542,0.147457627118644,18.628289007773773,17.43374050848212,7.051977405498085,6.59408450675034,11.082761545318293,25.186716356314463,10.756227184812818,23.9443961983135,4.524242038975718,4.593466450791968,4.630269719473464,3.2027110231227827,6.415403961800815,2.9739459500425847,6.6445255318651295
0.1,10,7.427754964039635,0.10322033898305082,0.10438983050847453,0.012711864406779648,0.0131186440677966,0.0915254237288135,0.1169491525423728,0.0907118644067796,0.1169491525423728,0.0661016949152542,0.1322033898305084,0.0559322033898305,0.1322033898305084,20.79858192705667,13.369699217766593,6.4121677034854505,5.37224523960129,14.31689593639077,27.14123134336167,8.013201424145324,18.757691903347904,2.861362066856858,2.9533020190375305,2.9866933990350897,1.8883896098325004,3.78819290524319,1.597868131396731,3.7926814568206138
0.1,50,7.304189106770589,0.10337288135593216,0.10164406779661012,0.012711864406779648,0.02033898305084745,0.0915254237288135,0.1169491525423728,0.0813559322033898,0.1220338983050847,0.0610169491525423,0.1372881355932203,0.0,0.1423728813559321,19.933201945274114,5.848928076702924,6.5508971507588365,3.1706725209412645,14.15734546447817,27.259139765995844,2.5628264627833195,8.904171504665849,1.2796353408523102,1.322693256692374,1.3005893296139224,0.7795249396711543,1.7498872164948116,0.0,1.823750911183832
0.1,100,7.3175918809109035,0.10337288135593216,0.10169491525423725,0.015254237288135603,0.02542372881355935,0.0864406779661016,0.1169491525423728,0.0762711864406779,0.1271186440677966,0.071186440677966,0.1322033898305084,0.0,0.1576271186440677,20.160414642442515,3.7529421260195464,6.797622271973996,2.623030879229437,12.866064568915611,26.461309112863603,1.0729264174050699,6.318988175863944,0.9048384152150342,0.9352439420649395,0.9200660999892962,0.6430723928178319,1.1979946766410647,0.0,1.412454925961547
0.1,200,7.310714314132441,0.10296610169491521,0.10210169491525418,0.0131186440677966,0.02837288135593219,0.0907118644067796,0.1169491525423728,0.0762711864406779,0.13301694915254228,0.0661016949152542,0.1372881355932203,0.0,0.1728813559322033,19.83948778935662,2.40726595200521,7.0480171104240785,2.0642172306692,13.265730041749308,27.361764262597465,0.48351497300598706,4.611949434344387,0.6398172337935658,0.6587185522864396,0.6533592040158126,0.4222398351086837,0.8720401125339862,0.0,1.1072788943213518
0.1,500,7.317486269594423,0.10337288135593216,0.09061016949152537,0.012711864406779648,0.0584745762711864,0.0915254237288135,0.1169491525423728,0.0254237288135593,0.1423728813559321,0.071186440677966,0.1322033898305084,0.0,0.2288135593220338,20.037256479337593,1.1103597655080082,6.064849944571511,1.0803518881054492,14.099159706629052,26.228859595772075,0.002686942963184988,2.1633907191740835,0.404655893814614,0.4182770002050441,0.3666575915979399,0.2864557434028773,0.5357621101755013,0.0,0.9169353325271145
0.15,4,10.83905420096415,0.15170847457627118,0.1522779661016949,0.015254237288135603,0.014237288135593246,0.1347457627118644,0.1652542372881356,0.1367796610169491,0.1652542372881356,0.1225423728813559,0.193728813559322,0.1205084745762711,0.1957627118644067,49.23286425159193,46.249303464311204,10.720405544750161,10.33812943387034,37.376082371465245,58.81689346096557,35.87492500772404,56.551183875464716,6.786363058463575,6.863133239908055,6.888859837907079,5.535255536320097,8.729531819450395,5.492835608883801,8.82118044747612
0.15,10,11.141632446059452,0.1535593220338983,0.15469830508474575,0.012203389830508504,0.013383050847457625,0.1408474576271186,0.1652542372881356,0.14255593220338975,0.169322033898305,0.1205084745762711,0.1835593220338983,0.1123728813559322,0.1835593220338983,53.88810745310027,39.39750542748293,10.136025004309303,8.616761467855493,43.644006840045584,63.91605684866419,31.14967761545141,48.383200551162396,4.292043100285287,4.393639737578455,4.42617997213784,3.442679519463866,5.259760149203045,3.210262336715251,5.259760149203045
0.15,50,10.956283660155885,0.15355932203389827,0.15329491525423722,0.013220338983050861,0.015416949152542325,0.1408474576271186,0.1672881355932203,0.13848813559322035,0.169322033898305,0.1144067796610169,0.1876271186440677,0.0940677966101695,0.1876271186440677,51.79072877663384,20.533812407652384,10.42609006308028,6.454033908470867,42.54103410713996,63.39321423330052,14.145009092268555,27.05307690921029,1.9194530112784656,1.964874789704842,1.9615171257267356,1.4616092618834144,2.391512529209576,1.201767615326363,2.3977711539995203
0.15,100,10.976387821366352,0.15380338983050845,0.15390508474576267,0.014237288135593204,0.019484745762711878,0.1388135593220339,0.1672881355932203,0.1327118644067796,0.17168135593220335,0.1245762711864406,0.185593220338983,0.09,0.1998305084745762,52.28634206437844,13.318874603780591,10.789884240306034,5.614636135538152,41.531751161333425,63.11151964194549,7.653673227786421,18.882945498862725,1.3572576228225515,1.3915597088155645,1.3924719280257423,1.125376687431206,1.672729479602861,0.8130272394911161,1.8010484533806146
