name,log_likelihood_median,log_likelihood_plus,log_likelihood_minus,spacing_median,spacing_plus,spacing_minus,phase_median,phase_plus,phase_minus,amplitude_median,amplitude_plus,amplitude_minus,log10width_median,log10width_plus,log10width_minus,fmin_median,fmin_plus,fmin_minus,fmax_median,fmax_plus,fmax_minus,SNR_median,SNR_plus,SNR_minus,qfactor_median,qfactor_plus,qfactor_minus
w1specM50RdV0.2Chi0.69N150newlikelihood,47.805626870806336,23.50894054412153,49.881338763509675,0.0011492726892938139,0.0006103495576079462,0.0005746407557134379,0.8302589487428494,0.0051355756683434395,0.5958487996084626,1.2792910392898407,0.04187287816406804,0.3074153368553282,-5.051456625028349,0.8762064382934946,0.05911699392241587,0.032905505681185186,0.016013577833394063,0.01795671691940876,0.07572779490367826,0.00549298420820675,0.012215508598251351,15.811545704986065,2.566119733431753,10.108245696285767,126.44101948734139,22.04980548416127,106.9258272650922
w1specM50RdV0.2Chi0.69N200newlikelihood,55.2388842357313,26.035724377756544,57.78144723708071,0.0011492646660836102,0.000723652218268994,0.000574637782045809,0.8311046148776574,0.004584803172046459,0.5347447049069811,1.3119668686819617,0.03996381611255706,0.26311665609350077,-5.181942541677413,0.6948605538169232,0.054244816158512954,0.0315841531082224,0.015975820003003488,0.01739106676091036,0.07440194411032043,0.006700259650060339,0.005466181806866921,16.434122749993648,2.6379482885836367,10.340077169262909,170.96355394985073,28.17420198035515,124.33406182658501
w1specM50RbolT10Chi0.69N010newlikelihood,7.149880602175812,12.053509330897008,7.696909247561442,0.0011091445920311236,0.0010955810909024609,1.3633490739702655e-05,0.47666560438886374,0.4839509607634651,0.439784420806057,1.0151536627491027,0.061222735419839136,0.20004916611139878,-3.860043706410643,0.3935711324127107,0.07346562231840537,0.05668900220356206,0.008648643749884291,0.03349003335484776,0.07939717020447577,0.004669584832024565,0.009244660566591609,9.62030732073843,2.7041410739069818,3.969681665657033,8.205900570703195,4.081584563418749,4.813337179105384
w1specM50RbolT10Chi0.69N020newlikelihood,12.831994830593572,12.965268398839033,11.583955329027367,0.0011066129498638647,1.4305012797541502e-05,1.528336469893885e-05,0.47676435776274817,0.47207742240108697,0.40040208158861657,1.0895665226787095,0.07248666252321789,0.15516961792042894,-4.105974677823357,0.5459536461619732,0.12442124384645048,0.05877817353431599,0.0057675193681942585,0.015017370421818027,0.07644353549858539,0.006766606633385588,0.007232491354221798,10.231869750647384,2.5027237432951495,2.8459298592208393,14.250085309431611,4.623882995147991,9.92312948000582
w1specM50RbolT10Chi0.69N050newlikelihood,12.856263999079395,14.323934379864895,10.388486302736256,0.0011053994931081472,2.3674945529766466e-05,1.570641089015121e-05,0.5865389194142783,0.3765601581632677,0.5287964591662708,1.131156550536927,0.10543470288793855,0.1361840975597567,-4.206262241861061,0.4439688011645746,0.3985793745961921,0.059492545221863674,0.004749322478828477,0.013006443460934054,0.07483639073503784,0.007454304002573894,0.006626225658579829,10.350970684262567,2.355671178497218,2.547829414792788,18.053969252788235,27.770854958335086,11.655499463406047
w1specM50RbolT10Chi0.69N100newlikelihood,10.56461494974235,10.282706943433126,8.023267879394064,0.001100742914677966,1.9081265296228564e-05,1.440850756914496e-05,0.510010962499367,0.43095249927109014,0.4517139590997638,1.1273112627262922,0.12927390554830542,0.16116128738586522,-4.1916791630364765,0.5510307200740678,0.6120178295277148,0.05882270272862724,0.006177556378164577,0.014818998015589814,0.07363776587168573,0.009223612058782069,0.005699823736183274,10.17490175718471,2.1185975694045123,2.2049712546946942,17.383164104828424,53.595814535549536,12.419921569876625
w1specM50RbolT10Chi0.69N150newlikelihood,11.018960246309117,10.939625440040789,8.739997157968292,0.0010997536032229314,1.9011784002047512e-05,1.2987509013398816e-05,0.5027868626566387,0.44322569349232377,0.4321504930072798,1.1365665370928895,0.1277400037165164,0.1577587984611566,-4.2288180181979484,0.5810084897780126,0.635186658965532,0.05853405562467991,0.006477081132232228,0.008204628161578534,0.07282053727420604,0.009770892330617995,0.004988193926755147,10.152337310039622,2.269104739585689,2.415524480881186,18.714253072712545,62.62854894028681,13.634645600367321
w1specM50RbolT10Chi0.69N200newlikelihood,14.762384577759597,12.566791570086664,9.916795740674722,0.001098422920785861,1.4718460739655782e-05,1.1987595502796575e-05,0.5239478344188145,0.43786545146792344,0.47205767838277324,1.1237828032873713,0.14304411951316642,0.12515870710404797,-4.118462526345921,0.360501512997212,0.686259292770341,0.058581219807347366,0.0048130779092328616,0.006155740347869948,0.07262903580877199,0.008367759066307268,0.004456759657981937,10.552187711402574,2.148393445490969,2.2335608694553972,14.534529761569551,55.53123155831732,8.185367907773276
w1XinN010newlikelihood,31.957969648251293,17.507496691483546,13.863353259546681,0.0007864688119492858,0.0003664993827905065,0.00020641148249451492,0.4647097387051201,0.47153765420913274,0.41832989403112053,0.8642418436182137,0.06752562744532609,0.04959182825191577,-3.130892572311992,0.23084641098349978,0.30846807568921264,0.04420458798139599,0.008723876489380819,0.012150000753221507,0.0838968980078696,0.0004997451498128386,0.002707914703205569,14.25235744772361,2.7015094714501497,2.74799432922819,1.011618544354567,2.080881298372776,0.471372473548031
w1XinN020newlikelihood,27.370724832831495,15.157660992546365,12.739373499958017,0.0007576269934275716,0.00040632598430888876,0.00017975505063729815,0.5124448342415584,0.44182947401138917,0.4657157416110621,0.8664700872492167,0.05872107390799752,0.05337509352533554,-3.176141962730977,0.23336731919210196,0.208985938117491,0.0434559646298223,0.008889767183027891,0.01229707829008458,0.08372690210096966,0.00066105653082979,0.010454689460140595,13.840959082663579,2.6974451003379496,2.802653480467715,1.125236141838837,1.361323925914659,0.5034223975251498
