names,log10width_median,log10width_plus,log10width_minus,amplitude_median,amplitude_plus,amplitude_minus,phase_median,phase_plus,phase_minus,spacing_median,spacing_plus,spacing_minus,fmin_median,fmin_plus,fmin_minus,fmax_median,fmax_plus,fmax_minus,duration_median,duration_plus,duration_minus,log_likelihood_median,log_likelihood_plus,log_likelihood_minus,log_prior_median,log_prior_plus,log_prior_minus,SNR_median,SNR_plus,SNR_minus
B3N150new,-4.2288180181979484,0.5810084897780126,0.635186658965532,708.2087240182985,772.5835305653171,423.40185857147014,0.5027868626566387,0.44322569349232377,0.4321504930072798,0.0010997536032229314,1.9011784002047512e-05,1.2987509013398816e-05,0.05853405562467991,0.006477081132232228,0.008204628161578534,0.07282053727420604,0.009770892330617995,0.004988193926755147,130517.61557111642,0.0,0.0,33.16982586456017,14.285471035984799,13.877452558607057,11.721328019630459,1.4624460353421416,1.3373282566838682,10.152337310039622,2.269104739585689,2.415524480881186
B3N200new,-4.118462526345921,0.360501512997212,0.686259292770341,657.8222607684309,844.6971962310508,338.48598871982824,0.5239478344188145,0.43786545146792344,0.47205767838277324,0.001098422920785861,1.4718460739655782e-05,1.1987595502796575e-05,0.058581219807347366,0.0048130779092328616,0.006155740347869948,0.07262903580877199,0.008367759066307268,0.004456759657981937,174023.48742815517,0.0,0.0,36.95200691085118,13.22286914589737,13.36763354074828,11.273817812006452,1.5816551747573087,0.8297369550623781,10.552187711402574,2.148393445490969,2.2335608694553972
B4N010new,-3.130892572311992,0.23084641098349978,0.30846807568921264,147.07974695147104,70.14526507935526,36.62748891694066,0.4647097387051201,0.47153765420913274,0.41832989403112053,0.0007864688119492858,0.0003664993827905065,0.00020641148249451492,0.04420458798139599,0.008723876489380819,0.012150000753221507,0.0838968980078696,0.0004997451498128386,0.002707914703205569,8701.17437140776,0.0,0.0,49.63135077609221,20.296607855491665,15.640192266465725,11.192655795006491,0.7028115712963281,0.5352783223053894,14.25235744772361,2.7015094714501497,2.74799432922819
B4N020new,-3.176141962730977,0.23336731919210196,0.208985938117491,148.91290852205506,60.1095562788955,39.49752949570588,0.5124448342415584,0.44182947401138917,0.4657157416110621,0.0007576269934275716,0.00040632598430888876,0.00017975505063729815,0.0434559646298223,0.008889767183027891,0.01229707829008458,0.08372690210096966,0.00066105653082979,0.010454689460140595,17402.34874281552,0.0,0.0,45.56439034628856,17.50123460023044,15.576986282756707,10.73982135538362,0.4848027039214351,0.5369218524654542,13.840959082663579,2.6974451003379496,2.802653480467715
B4N050new,-3.2069444080382965,0.25832951644048663,0.22740755761526055,153.21449911947226,64.46934662221054,40.128501255127375,0.4491278469466772,0.4986904335192587,0.3989000351524212,0.000807152164483573,0.000358658511244986,0.0002313312026830319,0.0428648582835959,0.009863879885201945,0.011949808818929555,0.08334615953605683,0.001008069168232359,0.009822650137869302,43505.871857038794,0.0,0.0,43.57239429041254,13.331809212430187,12.93027001603,10.132427279061856,0.5224348123229721,0.5942197354442893,13.474719469015572,2.7211434964714485,2.6330384503648148
B4N100new,-3.216096967228849,0.27639247748389684,0.30164550212589436,154.07440668745323,91.87087027697086,42.16087209082201,0.4034701418852628,0.5459554709717145,0.35617035016803805,0.0008072850410557737,0.00036401310978376384,0.00023106721242523414,0.04186140524155787,0.009712162724083019,0.011572804899383494,0.08283520410896333,0.0015139804264566598,0.016109219001482794,87011.74371407759,0.0,0.0,43.03759864923523,15.439478888306894,13.5308852767802,9.666131623962539,0.6955824007738372,0.6348537537702477,13.400025691160952,2.86833979515659,2.798767584722812
B4N150new,-3.206158308688982,0.2555830657355913,0.29625726143224096,153.38993121158262,90.1388377554789,41.27798892085504,0.4487495546260921,0.5059372974032902,0.4074465011428411,0.0008885019939861583,0.00028285208187285463,0.00030950422728189073,0.04260673562311665,0.010720620625393043,0.017609141761534306,0.08259457914686441,0.0017417891112410377,0.015492881846155784,130517.61557111642,0.0,0.0,42.424262509341055,15.681799245263079,15.314749176818001,9.36714377053703,0.6834918691157323,0.5882363805494659,13.286657606278139,2.7471165344980637,2.977612173443358
B4N200new,-3.1858767970440303,0.239520457463962,0.25826376843050136,150.2308974550593,81.00225708060731,40.677424909346314,0.44657318929114975,0.5065069963966635,0.4043822612010095,0.0008082206809987784,0.000361293866591714,0.00023088821940847268,0.04347842689556483,0.007854711778076881,0.0120120353580817,0.08311997073975737,0.0012249632057465404,0.01037081109233419,174023.48742815517,0.0,0.0,43.83202533857316,17.875448937910534,14.30972337615098,9.127111142874135,0.5957493433806,0.5515799391829574,13.56928443856375,2.797228723788388,2.863333659401471
noiseN010new,-3.5500230459685547,0.7712040105435474,0.3581159204027893,65.49444436402682,163.96654655681903,58.22967564193744,0.5067098249898095,0.44059246602419333,0.45414595798238844,0.0014211994318562085,0.0007792520478553879,0.000759051204459193,0.021476672790193746,0.03454430560396273,0.01956602539429843,0.06113815955699405,0.02124622947089356,0.03379590887052298,8701.17437140776,0.0,0.0,0.21037540934698706,8.954751483687406,1.149993564113132,12.15662229251491,0.8248510923567238,1.7759311722740598,3.26022377236822,4.4228400829366645,2.873589772578198
noiseN020new,-3.799372069842442,0.9214512326601918,0.4053577666741921,101.43276498377146,242.39806448990828,90.82108049117133,0.5112330249114905,0.4379128733815536,0.4578183012546147,0.001445503955132855,0.0007668545989903855,0.0007711080471198839,0.02014618071761881,0.03478945260738835,0.018494619277049963,0.06044891755725831,0.021831401006996994,0.034602390473177175,17402.34874281552,0.0,0.0,0.6166769406154664,11.636681151473498,1.4309933842309586,12.175038179273924,0.933845949145784,2.1221939938422505,3.84788249212381,4.583315042262109,3.3936636961472524
noiseN050new,-4.115556526417661,1.0733626395311324,0.4804598881533577,145.90628038137368,362.2575797616254,131.01532140875514,0.5138460514809519,0.4412560512096363,0.45838500530586046,0.0014245380511291013,0.0008024719303626675,0.0007562804253513991,0.021305936198538534,0.03480727865056346,0.01953029120105471,0.061870958962266936,0.020442082262266306,0.03436485329277074,43505.871857038794,0.0,0.0,0.6194476091907527,12.085038771453263,1.4291691369149429,12.224484146522244,1.106759984298991,2.4721307448587737,3.836395347753887,4.6619354285261725,3.3681012701721955
noiseN100new,-4.3411601324590094,1.204277356494202,0.5524719714971429,196.87207463291764,506.73345627827774,176.0387837557522,0.5012376385501576,0.4498421170044731,0.45632887715815185,0.0013504162969781215,0.0008564587702655497,0.0006957783164459653,0.0216173679769898,0.035529527673508254,0.019662578263584318,0.06130847212505177,0.020906082605329925,0.03494382951198226,87011.74371407759,0.0,0.0,0.9317831775193594,11.892144472796257,1.67730921920842,12.256829244699937,1.27174032083623,2.7731508344906235,4.1276462363971325,4.659701956967692,3.6141953044257606
noiseN150new,-4.540857980372681,1.3311058023832532,0.5294339100156664,236.03509714225333,685.9371632585938,211.910721068835,0.5148121207656129,0.43281504977814256,0.46348753807088977,0.0014246177369621384,0.0007851497933091338,0.0007631244796552989,0.02058761583897028,0.035540969099355994,0.01855214401772764,0.060926838680304275,0.021514966615173305,0.03299838707199732,130517.61557111642,0.0,0.0,0.8912741135138623,13.203377265877577,1.6503947612569425,12.439926489948789,1.2194028201581464,3.064386290755518,4.1023882831891605,4.6929832794516795,3.5927659144113164
noiseN200new,-4.580480325309493,1.3170540072013672,0.6094170443541094,242.48941163679694,649.3544910831127,215.59810595710798,0.4738282296094306,0.4700778283149343,0.43046952065508765,0.0014305196960348755,0.0007693872764117618,0.0007664987198354951,0.0206701445375598,0.03379450996705277,0.01884642961936593,0.06107329593882625,0.021177118279871537,0.03337764294467684,174023.48742815517,0.0,0.0,0.8596242232020141,11.632180300530171,1.6194730935208494,12.338956930191696,1.402990345197674,3.032906079830253,4.054368934924159,4.654289697389694,3.542871850813677
